"Date","Price","Open","High","Low","Vol.","Change %"
"25-06-2025","85.959","85.907","86.039","85.908","","0.02%"
"24-06-2025","85.944","86.157","86.265","85.899","","-0.73%"
"23-06-2025","86.580","86.788","86.871","86.571","","0.00%"
"20-06-2025","86.580","86.684","86.698","86.530","","-0.30%"
"19-06-2025","86.840","86.416","86.916","86.416","","0.47%"
"18-06-2025","86.430","86.315","86.573","86.263","","0.13%"
"17-06-2025","86.318","86.030","86.404","85.890","","0.55%"
"16-06-2025","85.846","86.149","86.260","85.782","","-0.30%"
"13-06-2025","86.108","86.164","86.217","85.924","","0.62%"
"12-06-2025","85.581","85.470","85.665","85.401","","0.13%"
"11-06-2025","85.468","85.560","85.631","85.412","","-0.15%"
"10-06-2025","85.596","85.666","85.695","85.505","","-0.09%"
"09-06-2025","85.670","85.803","85.813","85.466","","-0.14%"
"06-06-2025","85.786","85.838","86.005","85.621","","-0.06%"
"05-06-2025","85.835","85.849","85.978","85.663","","-0.05%"
"04-06-2025","85.875","85.692","86.045","85.651","","0.19%"
"03-06-2025","85.709","85.392","85.709","85.359","","0.42%"
"02-06-2025","85.354","85.504","85.594","85.292","","-0.20%"
"30-05-2025","85.525","85.368","85.653","85.248","","0.12%"
"29-05-2025","85.419","85.557","85.620","85.386","","0.01%"
"28-05-2025","85.414","85.519","85.737","85.321","","0.10%"
"27-05-2025","85.330","85.075","85.464","85.040","","0.28%"
"26-05-2025","85.088","85.037","85.184","84.785","","-0.13%"
"23-05-2025","85.200","85.953","86.045","85.111","","-0.92%"
"22-05-2025","85.995","85.609","86.115","85.530","","0.46%"
"21-05-2025","85.600","85.537","85.702","85.486","","0.07%"
"20-05-2025","85.540","85.370","85.659","85.344","","0.18%"
"19-05-2025","85.390","85.463","85.640","85.336","","-0.13%"
"16-05-2025","85.500","85.445","85.700","85.252","","-0.05%"
"15-05-2025","85.546","85.400","85.741","85.348","","0.18%"
"14-05-2025","85.395","85.038","85.522","85.006","","0.14%"
"13-05-2025","85.275","84.838","85.480","84.630","","0.46%"
"12-05-2025","84.885","84.695","84.959","84.592","","-0.61%"
"09-05-2025","85.409","85.884","85.952","85.284","","-0.15%"
"08-05-2025","85.536","84.778","85.810","84.528","","0.96%"
"07-05-2025","84.721","84.647","84.909","84.473","","0.49%"
"06-05-2025","84.305","84.370","84.637","84.250","","0.01%"
"05-05-2025","84.295","84.491","84.525","84.114","","-0.27%"
"02-05-2025","84.527","84.657","84.685","83.765","","-0.07%"
"01-05-2025","84.590","84.609","84.745","84.552","","-0.01%"
"30-04-2025","84.599","85.220","85.268","84.466","","-0.65%"
"29-04-2025","85.155","85.160","85.408","84.945","","-0.01%"
