"Date","Price","Open","High","Low","Vol.","Change %"
"27-05-2025","66.154","66.278","66.408","66.145","","-0.17%"
"26-05-2025","66.268","66.301","66.521","66.094","","0.04%"
"25-05-2025","66.243","66.264","66.264","66.197","","-0.15%"
"23-05-2025","66.340","66.521","66.709","66.187","","-0.27%"
"22-05-2025","66.521","66.378","66.736","66.326","","0.22%"
"21-05-2025","66.378","66.057","66.504","66.032","","0.49%"
"20-05-2025","66.057","65.962","66.136","65.854","","0.16%"
"19-05-2025","65.951","65.777","66.072","65.762","","0.26%"
"16-05-2025","65.777","65.905","66.199","65.714","","-0.25%"
"15-05-2025","65.941","65.616","66.028","65.588","","0.50%"
"14-05-2025","65.616","65.546","65.866","65.262","","0.11%"
"13-05-2025","65.543","64.986","65.560","64.883","","0.86%"
"12-05-2025","64.986","65.782","65.869","64.819","","-1.23%"
"09-05-2025","65.795","65.762","66.167","65.667","","0.05%"
"08-05-2025","65.762","65.438","66.168","65.264","","0.50%"
"07-05-2025","65.438","65.467","65.761","65.198","","-0.04%"
"06-05-2025","65.464","65.378","65.528","64.977","","0.17%"
"05-05-2025","65.350","65.118","65.557","65.083","","0.32%"
"02-05-2025","65.141","64.504","65.404","64.141","","0.99%"
"01-05-2025","64.504","64.745","64.819","64.423","","-0.37%"
"30-04-2025","64.745","65.073","65.227","64.652","","-0.50%"
"29-04-2025","65.073","65.077","65.315","64.896","","-0.01%"
"28-04-2025","65.082","64.909","65.112","64.629","","0.28%"
"25-04-2025","64.902","65.072","65.195","64.721","","-0.26%"
"24-04-2025","65.072","64.866","65.167","64.826","","0.32%"
"23-04-2025","64.866","64.953","65.301","64.695","","-0.13%"
"22-04-2025","64.953","65.265","65.327","64.921","","-0.45%"
"21-04-2025","65.249","65.177","65.500","65.147","","0.18%"
"18-04-2025","65.133","65.154","65.212","65.012","","0.03%"
"17-04-2025","65.116","65.300","65.375","64.993","","-0.21%"
"16-04-2025","65.254","65.000","65.378","64.956","","0.46%"
"15-04-2025","64.954","65.402","65.448","64.938","","-0.62%"
"14-04-2025","65.356","65.358","65.572","65.162","","0.06%"
"11-04-2025","65.315","64.732","65.439","64.732","","0.94%"
"10-04-2025","64.707","64.744","64.900","64.220","","-0.04%"
"09-04-2025","64.732","63.724","64.788","63.646","","1.62%"
"08-04-2025","63.702","63.475","63.961","63.451","","0.38%"
"07-04-2025","63.459","63.546","63.861","63.400","","-0.07%"
"04-04-2025","63.504","63.929","64.048","63.436","","-0.63%"
"03-04-2025","63.908","63.434","64.065","63.299","","0.79%"
"02-04-2025","63.404","63.671","63.868","63.416","","-0.38%"
"01-04-2025","63.644","63.653","63.796","63.581","","0.02%"
"31-03-2025","63.631","63.717","63.893","63.531","","-0.12%"
"28-03-2025","63.708","63.928","64.021","63.657","","-0.33%"
"27-03-2025","63.920","63.901","64.189","63.832","","0.14%"
"26-03-2025","63.828","64.079","64.203","63.851","","-0.33%"
"25-03-2025","64.040","63.933","64.194","63.851","","0.19%"
"24-03-2025","63.918","64.363","64.445","63.846","","-0.65%"
"21-03-2025","64.335","64.643","64.709","64.326","","-0.42%"
"20-03-2025","64.606","64.866","64.975","64.547","","-0.38%"
"19-03-2025","64.851","65.026","65.125","64.683","","-0.25%"
"18-03-2025","65.016","65.159","65.215","64.890","","-0.23%"
"17-03-2025","65.166","65.182","65.271","65.030","","0.02%"
"14-03-2025","65.154","65.076","65.224","65.010","","0.17%"
"13-03-2025","65.043","65.396","65.481","65.042","","-0.48%"
"12-03-2025","65.354","65.547","65.610","65.298","","-0.25%"
"11-03-2025","65.521","65.428","65.643","65.388","","0.19%"
"10-03-2025","65.400","65.442","65.675","65.400","","-0.02%"
"07-03-2025","65.410","65.305","65.548","65.234","","0.26%"
"06-03-2025","65.240","65.262","65.444","65.201","","0.02%"
"05-03-2025","65.230","65.224","65.340","64.989","","0.04%"
"04-03-2025","65.203","64.801","65.273","64.765","","0.69%"
"03-03-2025","64.757","64.714","64.974","64.644","","0.07%"
"28-02-2025","64.713","64.773","64.940","64.636","","-0.07%"
"27-02-2025","64.756","65.098","65.227","64.756","","-0.44%"
"26-02-2025","65.039","65.200","65.285","65.025","","-0.21%"
"25-02-2025","65.178","64.725","65.249","64.700","","0.74%"
"24-02-2025","64.701","64.801","65.095","64.686","","-0.08%"
"21-02-2025","64.756","64.938","64.985","64.738","","-0.23%"
"20-02-2025","64.908","64.713","64.989","64.632","","0.34%"
"19-02-2025","64.689","64.745","64.814","64.640","","-0.01%"
"18-02-2025","64.696","64.741","64.865","64.642","","0.02%"
"17-02-2025","64.681","64.659","64.868","64.635","","0.05%"
"14-02-2025","64.647","64.552","64.820","64.500","","0.20%"
"13-02-2025","64.521","64.230","64.573","64.188","","0.51%"
"12-02-2025","64.194","64.143","64.369","63.788","","0.10%"
"11-02-2025","64.131","64.540","64.588","63.869","","-0.62%"
"10-02-2025","64.534","64.695","64.916","64.496","","-0.18%"
"07-02-2025","64.650","64.851","64.917","64.596","","-0.30%"
"06-02-2025","64.845","64.757","64.903","64.640","","0.15%"
"05-02-2025","64.746","64.418","64.902","64.352","","0.56%"
"04-02-2025","64.387","63.984","64.463","63.874","","0.66%"
"03-02-2025","63.965","63.704","63.993","63.174","","0.48%"
"31-01-2025","63.662","63.969","64.060","63.643","","-0.44%"
"30-01-2025","63.942","64.202","64.250","63.955","","-0.36%"
"29-01-2025","64.170","64.090","64.239","63.957","","0.13%"
"28-01-2025","64.084","64.223","64.271","63.903","","-0.17%"
"27-01-2025","64.191","64.049","64.322","63.909","","0.25%"
"24-01-2025","64.032","63.763","64.140","63.641","","0.46%"
"23-01-2025","63.739","63.800","63.884","63.623","","-0.05%"
"22-01-2025","63.772","63.932","63.965","63.741","","-0.21%"
"21-01-2025","63.906","63.556","64.009","63.302","","0.59%"
"20-01-2025","63.529","63.210","63.757","63.206","","0.53%"
"17-01-2025","63.195","63.393","63.436","63.198","","-0.25%"
"16-01-2025","63.356","63.195","63.455","63.134","","0.28%"
"15-01-2025","63.180","63.316","63.396","63.084","","-0.20%"
"14-01-2025","63.305","63.270","63.427","63.115","","0.08%"
"13-01-2025","63.254","62.831","63.317","62.743","","0.69%"
"10-01-2025","62.821","62.791","62.937","62.597","","0.16%"
"09-01-2025","62.721","62.823","62.869","62.635","","-0.13%"
"08-01-2025","62.805","62.903","62.981","62.655","","-0.14%"
"07-01-2025","62.892","62.863","63.088","62.743","","0.06%"
"06-01-2025","62.853","62.599","63.202","62.519","","0.45%"
"03-01-2025","62.572","62.579","62.766","62.469","","0.05%"
"02-01-2025","62.539","62.736","63.068","62.524","","-0.22%"
"01-01-2025","62.679","62.674","62.785","62.661","","0.06%"
"31-12-2024","62.640","62.867","63.046","62.546","","-0.32%"
"30-12-2024","62.839","62.849","63.130","62.811","","0.03%"
"27-12-2024","62.822","62.737","63.157","62.659","","0.15%"
"26-12-2024","62.728","62.751","62.832","62.632","","0.06%"
"25-12-2024","62.692","62.640","62.788","62.631","","0.07%"
"24-12-2024","62.648","62.691","62.755","62.552","","-0.05%"
"23-12-2024","62.680","62.686","62.848","62.614","","0.06%"
"20-12-2024","62.641","62.537","62.791","62.453","","0.23%"
"19-12-2024","62.500","62.281","62.703","62.255","","0.39%"
"18-12-2024","62.256","62.892","62.960","62.249","","-0.99%"
"17-12-2024","62.881","62.909","63.002","62.822","","-0.01%"
"16-12-2024","62.886","62.861","62.984","62.786","","0.07%"
"13-12-2024","62.843","62.982","63.046","62.811","","-0.21%"
"12-12-2024","62.973","63.088","63.255","62.956","","-0.12%"
"11-12-2024","63.049","63.255","63.360","63.004","","-0.32%"
"10-12-2024","63.254","63.299","63.425","63.175","","-0.03%"
"09-12-2024","63.272","63.083","63.460","63.006","","0.36%"
"06-12-2024","63.044","63.279","63.394","63.052","","-0.29%"
"05-12-2024","63.225","63.041","63.326","62.997","","0.33%"
"04-12-2024","63.016","62.972","63.142","62.835","","0.09%"
"03-12-2024","62.961","63.004","63.069","62.869","","0.01%"
"02-12-2024","62.957","63.145","63.213","62.827","","-0.26%"
"29-11-2024","63.118","62.905","63.236","62.879","","0.43%"
"28-11-2024","62.845","62.962","63.000","62.813","","-0.20%"
"27-11-2024","62.969","62.620","63.066","62.578","","0.58%"
"26-11-2024","62.607","62.615","62.747","62.405","","0.02%"
"25-11-2024","62.596","62.704","62.929","62.510","","-0.14%"
"22-11-2024","62.686","62.753","62.872","62.519","","-0.08%"
"21-11-2024","62.738","62.822","63.006","62.711","","-0.09%"
"20-11-2024","62.796","63.108","63.165","62.726","","-0.40%"
"19-11-2024","63.048","63.046","63.129","62.919","","0.03%"
"18-11-2024","63.031","62.878","63.094","62.739","","0.26%"
"15-11-2024","62.867","62.744","63.024","62.693","","0.23%"
"14-11-2024","62.722","62.865","62.954","62.621","","-0.22%"
"13-11-2024","62.861","63.067","63.299","62.829","","-0.29%"
"12-11-2024","63.041","63.278","63.341","62.959","","-0.31%"
"11-11-2024","63.238","63.635","63.674","63.224","","-0.58%"
"08-11-2024","63.608","63.858","63.908","63.409","","-0.38%"
"07-11-2024","63.849","63.239","63.936","63.152","","1.00%"
"06-11-2024","63.215","63.994","64.063","63.016","","-1.19%"
