"Date","Price","Open","High","Low","Vol.","Change %"
"25-06-2025","286,047","285,644","286,615","285,644","","0.14%"
"24-06-2025","285,634","291,666","291,862","283,625","","-2.07%"
"23-06-2025","291,669","291,530","293,835","290,217","","-0.13%"
"22-06-2025","292,046","292","293,233","292","","0.15%"
"20-06-2025","291,622","292,705","292,899","289,321","","-0.37%"
"19-06-2025","292,705","291,163","293,134","290,219","","0.52%"
"18-06-2025","291,189","292,465","293,632","290,624","","-0.42%"
"17-06-2025","292,423","290,530","293,269","290,366","","0.64%"
"16-06-2025","290,561","295,485","297,214","290,402","","-1.69%"
"13-06-2025","295,567","289,751","296,893","289,244","","2.01%"
"12-06-2025","289,753","286,764","290,699","285,792","","1.04%"
"11-06-2025","286,760","284,427","287,181","283,721","","0.80%"
"10-06-2025","284,483","285,066","286,566","282,570","","-0.14%"
"09-06-2025","284,878","284,079","285,998","282,553","","0.32%"
"06-06-2025","283,965","287,751","290,095","283,682","","-1.32%"
"05-06-2025","287,778","289,660","292,101","286,595","","-0.65%"
"04-06-2025","289,671","287,419","290,499","286,769","","0.78%"
"03-06-2025","287,423","288,404","289,564","285,593","","-0.42%"
"02-06-2025","288,639","281,359","288,771","281,325","","2.60%"
"30-05-2025","281,325","283,421","283,736","279,935","","-0.74%"
"29-05-2025","283,433","280,834","284,524","277,213","","0.95%"
"28-05-2025","280,754","281,661","284,086","279,841","","-0.31%"
"27-05-2025","281,630","284,533","285,256","280,518","","-0.99%"
"26-05-2025","284,442","285,784","285,938","282,993","","-0.56%"
"23-05-2025","286,051","283,339","286,925","282,685","","0.92%"
"22-05-2025","283,442","283,787","286,554","282,174","","-0.12%"
"21-05-2025","283,775","281,432","284,632","280,971","","0.83%"
"20-05-2025","281,427","275,818","281,938","273,729","","2.05%"
"19-05-2025","275,772","275,121","277,868","274,153","","0.71%"
"16-05-2025","273,837","277,170","277,890","270,030","","-1.22%"
"15-05-2025","277,211","271,330","277,252","267,485","","2.17%"
"14-05-2025","271,332","276,928","277,772","270,527","","-2.10%"
"13-05-2025","277,163","274,595","278,280","272,985","","0.94%"
"12-05-2025","274,594","283,982","284,019","272,320","","-3.29%"
"09-05-2025","283,932","282,746","285,940","281,416","","0.41%"
"08-05-2025","282,772","285,065","289,319","281,309","","-0.80%"
"07-05-2025","285,062","289,305","289,890","283,282","","-1.46%"
"06-05-2025","289,284","281,062","289,602","280,109","","2.92%"
"05-05-2025","281,072","273,866","281,359","273,681","","2.67%"
"02-05-2025","273,762","274,156","276,114","272,221","","-0.14%"
"01-05-2025","274,156","278,282","278,409","271,151","","-1.45%"
"30-04-2025","278,203","282,460","283,425","276,231","","-1.51%"
"29-04-2025","282,479","284,797","285,208","281,003","","-0.81%"
"28-04-2025","284,783","284,195","285,578","278,272","","0.47%"
"25-04-2025","283,444","285,785","287,645","278,845","","-0.80%"
"24-04-2025","285,728","280,703","288,023","280,611","","1.81%"
"23-04-2025","280,647","287,917","288,744","278,403","","-2.55%"
"22-04-2025","287,986","291,686","297,801","286,778","","-1.20%"
"21-04-2025","291,496","284,947","292,247","284,383","","2.54%"
"18-04-2025","284,268","284,157","284,543","284,106","","0.06%"
"17-04-2025","284,095","286,219","287,494","280,503","","-0.74%"
"16-04-2025","286,206","276,849","286,394","276,517","","3.37%"
"15-04-2025","276,886","276,288","277,558","275,288","","0.27%"
"14-04-2025","276,127","279,060","279,792","274,836","","-1.00%"
"11-04-2025","278,929","273,852","279,774","273,588","","1.92%"
"10-04-2025","273,682","267,153","273,832","266,135","","2.46%"
"09-04-2025","267,099","257,250","268,644","256,163","","3.85%"
"08-04-2025","257,199","256,203","260,437","255,794","","0.42%"
"07-04-2025","256,121","259,840","261,684","253,917","","-1.38%"
"04-04-2025","259,700","265,617","267,696","257,926","","-2.22%"
"03-04-2025","265,598","267,901","271,190","260,677","","-0.78%"
"02-04-2025","267,695","266,533","268,513","265,353","","0.47%"
"01-04-2025","266,436","266,963","269,289","265,372","","-0.18%"
"31-03-2025","266,903","264,019","267,486","263,171","","1.15%"
"28-03-2025","263,859","261,658","264,186","261,516","","0.80%"
"27-03-2025","261,759","258,615","262,302","258,430","","1.25%"
"26-03-2025","258,523","258,536","260,112","258,003","","0.07%"
"25-03-2025","258,349","257,643","260,118","257,375","","0.30%"
"24-03-2025","257,572","259,965","260,264","256,938","","-0.93%"
"21-03-2025","260,000","262,872","263,123","258,035","","-1.07%"
"20-03-2025","262,819","263,080","263,812","261,310","","-0.07%"
"19-03-2025","263,016","262,573","263,495","261,178","","0.20%"
"18-03-2025","262,496","260,168","263,073","259,869","","0.93%"
"17-03-2025","260,072","259,603","260,485","258,974","","0.23%"
"14-03-2025","259,470","259,703","261,309","258,923","","-0.08%"
"13-03-2025","259,688","255,858","259,873","255,318","","1.58%"
"12-03-2025","255,654","254,252","256,324","253,452","","0.60%"
"11-03-2025","254,126","251,905","254,790","251,603","","0.82%"
"10-03-2025","252,056","253,679","254,593","251,450","","-0.60%"
"07-03-2025","253,590","253,474","255,188","252,125","","0.08%"
"06-03-2025","253,376","253,645","254,516","251,836","","-0.06%"
"05-03-2025","253,538","254,638","254,779","251,881","","-0.38%"
"04-03-2025","254,505","252,489","255,210","251,496","","0.86%"
"03-03-2025","252,339","249,879","252,685","249,778","","0.93%"
"28-02-2025","250,017","251,294","251,927","247,655","","-0.46%"
"27-02-2025","251,182","254,143","254,534","250,504","","-1.12%"
"26-02-2025","254,036","253,963","255,340","251,875","","0.07%"
"25-02-2025","253,858","255,934","256,700","251,672","","-0.79%"
"24-02-2025","255,887","254,292","256,361","253,057","","0.67%"
"21-02-2025","254,178","254,516","255,205","252,912","","-0.09%"
"20-02-2025","254,396","254,900","256,249","253,202","","-0.18%"
"19-02-2025","254,853","255,057","256,007","253,618","","-0.03%"
"18-02-2025","254,942","251,700","255,249","251,270","","1.35%"
"17-02-2025","251,543","249,802","252,511","249,338","","0.72%"
"14-02-2025","249,748","253,860","255,337","249,231","","-1.60%"
"13-02-2025","253,798","252,393","254,174","252,056","","0.58%"
"12-02-2025","252,343","251,530","252,835","248,855","","0.36%"
"11-02-2025","251,449","254,317","257,607","249,965","","-1.14%"
"10-02-2025","254,356","251,050","254,701","250,226","","1.46%"
"07-02-2025","250,705","250,165","252,917","249,661","","0.23%"
"06-02-2025","250,127","250,386","251,491","248,357","","-0.09%"
"05-02-2025","250,353","247,383","251,785","247,250","","1.16%"
"04-02-2025","247,490","244,884","247,789","244,487","","1.12%"
"03-02-2025","244,754","242,492","246,670","240,323","","0.98%"
"31-01-2025","242,387","241,991","244,010","241,672","","0.22%"
"30-01-2025","241,863","239,068","242,299","238,796","","1.18%"
"29-01-2025","239,042","239,300","239,534","237,802","","-0.08%"
"28-01-2025","239,239","236,679","239,408","236,546","","1.16%"
"27-01-2025","236,500","238,862","239,200","235,763","","-1.00%"
"24-01-2025","238,882","238,145","240,220","237,931","","0.35%"
"23-01-2025","238,040","238,286","238,500","236,408","","-0.12%"
"22-01-2025","238,331","237,313","238,795","237,036","","0.42%"
"21-01-2025","237,336","233,554","237,615","232,984","","1.65%"
"20-01-2025","233,476","233,972","234,942","232,831","","-0.17%"
"17-01-2025","233,876","235,114","235,359","233,601","","-0.47%"
"16-01-2025","234,983","232,980","235,966","232,632","","0.88%"
"15-01-2025","232,937","231,673","233,067","231,065","","0.56%"
"14-01-2025","231,641","230,783","231,833","230,190","","0.45%"
"13-01-2025","230,606","231,809","232,816","230,339","","-0.50%"
"10-01-2025","231,766","229,376","232,463","229,163","","1.10%"
"09-01-2025","229,247","228,591","229,943","228,123","","0.25%"
"08-01-2025","228,669","227,293","229,405","227,000","","0.61%"
"07-01-2025","227,272","225,974","228,448","225,638","","0.59%"
"06-01-2025","225,933","226,508","227,224","224,146","","-0.18%"
"03-01-2025","226,334","227,958","228,665","226,154","","-0.69%"
"02-01-2025","227,911","224,969","228,228","224,533","","1.42%"
"01-01-2025","224,716","224,734","224,973","224,734","","0.11%"
"31-12-2024","224,478","222,858","224,896","222,614","","0.76%"
"30-12-2024","222,782","223,755","224,792","221,953","","-0.42%"
