Date,sgd_inr,usd_inr,xau_inr
27-05-2025,66.154,85.33,"281,630"
26-05-2025,66.268,85.088,"284,442"
23-05-2025,66.34,85.2,"286,051"
22-05-2025,66.521,85.995,"283,442"
21-05-2025,66.378,85.6,"283,775"
20-05-2025,66.057,85.54,"281,427"
19-05-2025,65.951,85.39,"275,772"
16-05-2025,65.777,85.5,"273,837"
15-05-2025,65.941,85.546,"277,211"
14-05-2025,65.616,85.395,"271,332"
13-05-2025,65.543,85.275,"277,163"
12-05-2025,64.986,84.885,"274,594"
09-05-2025,65.795,85.409,"283,932"
08-05-2025,65.762,85.536,"282,772"
07-05-2025,65.438,84.721,"285,062"
06-05-2025,65.464,84.305,"289,284"
05-05-2025,65.35,84.295,"281,072"
02-05-2025,65.141,84.527,"273,762"
01-05-2025,64.504,84.59,"274,156"
30-04-2025,64.745,84.599,"278,203"
29-04-2025,65.073,85.155,"282,479"
28-04-2025,65.082,85.163,"284,783"
25-04-2025,64.902,85.385,"283,444"
24-04-2025,65.072,85.326,"285,728"
23-04-2025,64.866,85.35,"280,647"
22-04-2025,64.953,85.18,"287,986"
21-04-2025,65.249,85.17,"291,496"
18-04-2025,65.133,85.429,"284,268"
17-04-2025,65.116,85.38,"284,095"
16-04-2025,65.254,85.587,"286,206"
15-04-2025,64.954,85.681,"276,886"
14-04-2025,65.356,86.021,"276,127"
11-04-2025,65.315,86.19,"278,929"
10-04-2025,64.707,86.19,"273,682"
09-04-2025,64.732,86.65,"267,099"
08-04-2025,63.702,86.24,"257,199"
07-04-2025,63.459,85.854,"256,121"
04-04-2025,63.504,85.502,"259,700"
03-04-2025,63.908,85.247,"265,598"
02-04-2025,63.404,85.45,"267,695"
01-04-2025,63.644,85.57,"266,436"
31-03-2025,63.631,85.45,"266,903"
28-03-2025,63.708,85.534,"263,859"
27-03-2025,63.92,85.64,"261,759"
26-03-2025,63.828,85.625,"258,523"
25-03-2025,64.04,85.583,"258,349"
24-03-2025,63.918,85.56,"257,572"
21-03-2025,64.335,85.99,"260,000"
20-03-2025,64.606,86.32,"262,819"
19-03-2025,64.851,86.31,"263,016"
18-03-2025,65.016,86.51,"262,496"
17-03-2025,65.166,86.69,"260,072"
14-03-2025,65.154,86.941,"259,470"
13-03-2025,65.043,86.897,"259,688"
12-03-2025,65.354,87.15,"255,654"
11-03-2025,65.521,87.176,"254,126"
10-03-2025,65.4,87.29,"252,056"
07-03-2025,65.41,87.1,"253,590"
06-03-2025,65.24,87.011,"253,376"
05-03-2025,65.23,86.88,"253,538"
04-03-2025,65.203,87.255,"254,505"
03-03-2025,64.757,87.26,"252,339"
28-02-2025,64.713,87.466,"250,017"
27-02-2025,64.756,87.33,"251,182"
26-02-2025,65.039,87.113,"254,036"
25-02-2025,65.178,87.13,"253,858"
24-02-2025,64.701,86.66,"255,887"
21-02-2025,64.756,86.572,"254,178"
20-02-2025,64.908,86.561,"254,396"
19-02-2025,64.689,86.89,"254,853"
18-02-2025,64.696,86.867,"254,942"
17-02-2025,64.681,86.809,"251,543"
14-02-2025,64.647,86.62,"249,748"
13-02-2025,64.521,86.69,"253,798"
12-02-2025,64.194,86.9,"252,343"
11-02-2025,64.131,86.789,"251,449"
10-02-2025,64.534,87.469,"254,356"
